Conference,Organization,Where,From,To,Author,Title,Role
111th Annual Symposium of the Italian Botanical Society,SBI,"Roma, Italy",21-09-2017,23-09-2017,"Di Musciano M., Stanisci A., Frate L., Di Cecco V., Frattaroli A.R.",Key plant species to monitor climate change effect at high elevation in Majella National Park,Poster
112th Annual Symposium of the Italian Botanical Society,SBI,"Parma, Italy",20-09-2017,22-09-2017,"Di Musciano M., Stanisci A., Frate L., Carranza M.L., Di Cecco V., Di Martino L., Frattaroli A.R.",Nurse plant effect along mountain vertical gradients. An insight in central Apennine.,Poster
51st Annual Symposium of the Italian Assosiation of Vegetation Science,SISV,"Bologna, Italy",20-04-2017,22-04-2017,"Di Musciano M., Di Cecco V., De Simone W., Ferella G., Gratani L., Catoni R., Frattaroli A.R.","Quantify ecosystems services of grassland at Campo Imperatore upland plain (Central Apennines, Italy).",Poster
28th Meeting of the European Vegetation Survey,EVS,"Madrid, Spain",02-09-2019,06-09-2019,"Di Musciano M., Di Cecco V., Frattaroli A.R., Carranza M.L., Stanisci A., Di Martino L.",Exploring dispersion ability of high mountain species along environmental gradients. An insight in central Apennine.,Poster
3rd Mediterranean Plant Conservation Week: from Science to Practice,MPCW,"Creta, Greece",27-09-2021,01-10-2021,"Di Musciano M., Di Cecco V., Bartolucci F., Conti F., Frattaroli A.R., Di Martino L.",Conservation strategies of threatened species should consider their dispersal ability,Poster
7th Seed Ecology Conference of the International Society for Seed Science,ISSS,"Gijon (Asturias), Spain",06-09-2022,09-09-2022,"Di Musciano M., Berrilli E., Frattaroli A.R., Ricci L., Di Cecco V., Di Martino L., Kaliontzopoulou A.",The evolution of plant dispersal syndromes and seed traits: evolutionary cues and diversification,Poster
11th Biennial Conference of the International Biogeography Society,IBS,"Prague, Czech Republic",07-01-2024,11-01-2024,"Di Musciano M., Santi F., Testolin R., Zannini P., Micci V., Ricci L., Guarino R., Bacchetta G., Fernández‐Palacios J.M., Fois M., Kougioumoutzis K., Kunt K.B., Lucchi F., Medail F., Nikolic T., Otto R., Pasta S., Panitsa M., Proios K., Sfenthourakis S., Simaiakis S.M., Tranne C.A., Triantis K.A., Chiarucci A. ",MEDIS - A Comprehensive Spatial Dataset on Mediterranean Islands for Biogeographical and Evolutionary Research,Poster
