Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Valle, Barbara; Cucini, Claudio; Nardi, Francesco; Caccianiga, Marco; Gobbi, Mauro; Di Musciano, Michele; Carapelli, Antonio; Ficetola, Gentile Francesco; Guerrieri, Alessia; Fanciulli, Pietro Paolo; ","Desoria calderonis sp. nov., a new species of alpine cryophilic springtail (Collembola: Isotomidae) from the Apennines (Italy), with phylogenetic and ecological considerations",European journal of taxonomy,787,,32-52,2021,
"Lembrechts, Jonas J; van den Hoogen, Johan; Aalto, Juha; Ashcroft, Michael B; De Frenne, Pieter; Kemppinen, Julia; Kopecký, Martin; Luoto, Miska; Maclean, Ilya MD; Crowther, Thomas W; ",Global maps of soil temperature,Global change biology,28,9,3110-3144,2022,
"Di Cecco, V; Frattaroli, AR; Di Musciano, M; Di Santo, M; Di Martino, L; ",Seed germination reports for Policy species in the central Apennines,Flora,31,,277,2021,
"Bricca, Alessandro; Di Musciano, Michele; Ferrara, Arianna; Theurillat, Jean-Paul; Cutini, Maurizio; ",Community assembly along climatic gradient: contrasting pattern between-and within-species,"Perspectives in Plant Ecology, Evolution and Systematics",56,,125675,2022,Urban & Fischer
"Valle, Barbara; di Musciano, Michele; Gobbi, Mauro; Bonelli, Marco; Colonnelli, Enzo; Gardini, Giulio; Migliorini, Massimo; Pantini, Paolo; Zanetti, Adriano; Berrilli, Emanuele; ",Biodiversity and ecology of plants and arthropods on the last preserved glacier of the Apennines mountain chain (Italy),The Holocene,32,8,853-865,2022,"SAGE Publications Sage UK: London, England"
"Di Musciano, Michele; Ricci, Lorenzo; Di Cecco, Valter; Bricca, Alessandro; Di Martino, Luciano; Frattaroli, Anna Rita; ",Elevational patterns of plant dispersal ability in Southern Europe,Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology,157,1,71-79,2023,Taylor & Francis
"Zannini, Piero; Frascaroli, Fabrizio; Nascimbene, Juri; Halley, John Maxwell; Stara, Kalliopi; Cervellini, Marco; Di Musciano, Michele; De Vigili, Filippo; Rocchini, Duccio; Piovesan, Gianluca; ",Investigating sacred natural sites and protected areas for forest area changes in Italy,Conservation Science and Practice,4,8,e12695,2022,"John Wiley & Sons, Ltd Chichester, UK"
"Lelli, Chiara; Chiarucci, Alessandro; Tomaselli, Marcello; Di Musciano, Michele; Lasen, Cesare; Poloniato, Gianni; Nascimbene, Juri; ",Temporal beta diversity patterns reveal global change impacts in closed mountain grasslands,Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology,157,2,233-242,2023,Taylor & Francis
"Vallese, Chiara; Di Musciano, Michele; Muggia, Lucia; Giordani, Paolo; Francesconi, Luana; Benesperi, Renato; Chiarucci, Alessandro; Di Cecco, Valter; Di Martino, Luciano; Di Nuzzo, Luca; ",Water-energy relationships shape the phylogenetic diversity of terricolous lichen communities in Mediterranean mountains: implications for conservation in a climate change scenario,Fungal Ecology,60,,101189,2022,Elsevier
"Fattorini, Lorenzo; Cervellini, Marco; Franceschi, Sara; Di Musciano, Michele; Zannini, Piero; Chiarucci, Alessandro; ",A sampling strategy for assessing habitat coverage at a broad spatial scale,Ecological Indicators,143,,109352,2022,Elsevier
